trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1}",35,0,-116.71174264857137,"{0: 25, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.9, 'e': 1}",30,0,-128.03014929631289,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 1}",20,0,-147.76436515778897,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.9, 'e': 1}",25,0,-77.68967705303096,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 1}",30,16,-108.33863415208398,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.9, 'e': 1}",30,0,-65.22519680856993,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.9, 'e': 1}",20,0,-134.16699615384044,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.9, 'e': 1}",25,0,-212.2196727508232,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
9,False,"{'a': 0.9, 'e': 1}",30,0,-180.0107678480956,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.9, 'e': 1}",20,0,-38.64599562794279,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 1}",20,0,-106.95304371172814,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.9, 'e': 1}",25,0,-78.16193559315633,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.9, 'e': 1}",25,0,-188.2219606745512,"{0: 13, 1: 4, 2: 2, 3: 4, 4: 2}",0
14,False,"{'a': 0.9, 'e': 1}",20,0,-106.46035225073796,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.9, 'e': 1}",25,0,-105.32620957950365,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.9, 'e': 1}",20,0,-79.99384484252985,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.9, 'e': 1}",30,3,-130.50840474960245,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 1}",1
18,False,"{'a': 0.9, 'e': 1}",30,0,-124.26964612233346,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.9, 'e': 1}",20,0,-211.7665740802029,"{0: 6, 1: 5, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.9, 'e': 1}",20,0,-68.47888551688403,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.9, 'e': 1}",30,0,-145.87842993050555,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.9, 'e': 1}",25,13,12.956574415166443,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 1}",30,0,-90.12275920277976,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.9, 'e': 1}",20,0,-79.95756335643978,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.9, 'e': 1}",20,0,-104.19382327794523,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.9, 'e': 1}",20,0,-79.19880031336263,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
27,False,"{'a': 0.9, 'e': 1}",20,0,-88.09822878770585,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.9, 'e': 1}",20,0,-43.89470175692005,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.9, 'e': 1}",35,0,-161.29967957222715,"{0: 20, 1: 6, 2: 5, 3: 3, 4: 1}",0
30,False,"{'a': 0.9, 'e': 1}",35,0,-138.09528347412626,"{0: 20, 1: 7, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.9, 'e': 1}",20,0,-83.92757157696694,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.9, 'e': 1}",25,0,-108.58595748789304,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
33,False,"{'a': 0.9, 'e': 1}",20,10,-37.7253320266803,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.9, 'e': 1}",20,0,-56.64184759769354,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.9, 'e': 1}",25,0,-181.84768805441243,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
36,False,"{'a': 0.9, 'e': 1}",20,0,-271.20918645779045,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 6}",0
37,False,"{'a': 0.9, 'e': 1}",20,1,-97.37442508980146,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
38,False,"{'a': 0.9, 'e': 1}",20,0,-135.4218066704649,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
39,False,"{'a': 0.9, 'e': 1}",20,0,-35.1199488204912,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.9, 'e': 1}",25,0,-190.3501626659522,"{0: 9, 1: 6, 2: 7, 3: 1, 4: 2}",0
41,False,"{'a': 0.9, 'e': 1}",30,0,-111.2688603161844,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
42,False,"{'a': 0.9, 'e': 1}",20,0,-126.88192563301567,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.9, 'e': 1}",20,0,-148.78225347460045,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
44,False,"{'a': 0.9, 'e': 1}",20,0,-104.54587625003185,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
45,False,"{'a': 0.9, 'e': 1}",25,0,-106.0271517773765,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
46,False,"{'a': 0.9, 'e': 1}",25,0,-103.35447809938853,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.9, 'e': 1}",20,0,-80.17996148506961,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.9, 'e': 1}",25,0,-29.583239938278407,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.9, 'e': 1}",30,0,-131.26246964444,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
50,False,"{'a': 0.9, 'e': 1}",25,0,-167.81220690186944,"{0: 12, 1: 1, 2: 9, 3: 2, 4: 1}",0
51,False,"{'a': 0.9, 'e': 1}",20,0,-168.59444839161714,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
52,False,"{'a': 0.9, 'e': 1}",25,0,-146.39833383106597,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.9, 'e': 1}",20,0,-93.20582283097329,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.9, 'e': 1}",20,0,-96.98802589180838,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
55,False,"{'a': 0.9, 'e': 1}",25,0,-100.76176699094478,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.9, 'e': 1}",25,0,-67.38977067346954,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.9, 'e': 1}",20,0,-155.2909664885037,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
58,False,"{'a': 0.9, 'e': 1}",20,0,-88.24276075510747,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.9, 'e': 1}",25,0,-250.49942866896322,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
60,False,"{'a': 0.9, 'e': 1}",20,0,-135.21010138504246,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
61,False,"{'a': 0.9, 'e': 1}",25,0,-160.6181962377636,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
62,False,"{'a': 0.9, 'e': 1}",20,0,-102.06833688461569,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
63,False,"{'a': 0.9, 'e': 1}",20,1,-176.28533442043752,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 3}",1
64,False,"{'a': 0.9, 'e': 1}",30,0,-98.26903815425985,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
65,False,"{'a': 0.9, 'e': 1}",20,0,-27.59335197803176,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.9, 'e': 1}",20,0,-61.22842075620789,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
