trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-114.57578040514323,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-180.94002917294767,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-234.9987207840161,"{0: 15, 1: 3, 2: 6, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-73.85533159741091,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,3,-66.32939354791453,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-29.327700650498482,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,3,-153.40995515387272,"{0: 19, 1: 1, 2: 1, 3: 4, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-135.56921666849775,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-176.82013303983138,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-287.46433225292174,"{0: 12, 1: 3, 2: 1, 3: 4, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-89.25208090198554,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-219.60134447809028,"{0: 15, 1: 0, 2: 3, 3: 4, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-119.30320320993013,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-76.15084886074615,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-78.61952656677062,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-46.47850097073728,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-22.15572124969812,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-79.58580570026824,"{0: 23, 1: 5, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-78.08131732375291,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-86.19635104507974,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,3,-242.14317384902046,"{0: 13, 1: 4, 2: 3, 3: 4, 4: 3}",1
2,True,"{'a': 0, 'e': 0}",25,0,-93.88128630803294,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-170.2049914028579,"{0: 13, 1: 1, 2: 6, 3: 4, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-160.16727198129,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-71.32760572209739,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-86.00279164467928,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,11,-104.69074237747209,"{0: 6, 1: 1, 2: 5, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-123.5643549542033,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-94.00899846932867,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,1,-145.96536982832163,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 3}",1
